Module,BaseAddress,Offset,OffsetName,RegName,Bits,FieldName,Access,Active,Description,"DefaultValue
(After reset)"
Gamma_in,4001B/1D,"01C
",c_gamma_dx0,ISP_GAMMA_DX_LO,2:0,GAMMA_DX_1,RW,,,
,,,,,6:4,GAMMA_DX_2,RW,,,
,,,,,10:8,GAMMA_DX_3,RW,,,
,,,,,14:12,GAMMA_DX_4,RW,,,
,,,,,18:16,GAMMA_DX_5,RW,,,
,,,,,22:20,GAMMA_DX_6,RW,,,
,,,,,26:24,GAMMA_DX_7,RW,,,
,,,,,30:28,GAMMA_DX_8,RW,,,
,,020,"c_gamma_dx1
",ISP_GAMMA_DX_HI,2:0,GAMMA_DX_9,RW,,,
,,,,,6:4,GAMMA_DX_10,RW,,,
,,,,,10:8,GAMMA_DX_11,RW,,,
,,,,,14:12,GAMMA_DX_12,RW,,,
,,,,,18:16,GAMMA_DX_13,RW,,,
,,,,,22:20,GAMMA_DX_14,RW,,,
,,,,,26:24,GAMMA_DX_15,RW,,,
,,,,,30:28,GAMMA_DX_16,RW,,,
,,024,c_gamma_r_y0,ISP_GAMMA_R_Y_0,11:0,GAMMA_R_Y_0,RW,,调整gamma矫正曲线的y轴采样点的值，与x轴采样点配置联合作用。分为RGB三条曲线：r_y0到r_y16,
,,028,c_gamma_r_y1,ISP_GAMMA_R_Y_1,11:0,GAMMA_R_Y_1,RW,,,
,,02C,c_gamma_r_y2,ISP_GAMMA_R_Y_2,11:0,GAMMA_R_Y_2,RW,,,
,,030,c_gamma_r_y3,ISP_GAMMA_R_Y_3,11:0,GAMMA_R_Y_3,RW,,,
,,034,c_gamma_r_y4,ISP_GAMMA_R_Y_4,11:0,GAMMA_R_Y_4,RW,,,
,,038,c_gamma_r_y5,ISP_GAMMA_R_Y_5,11:0,GAMMA_R_Y_5,RW,,,
,,03C,c_gamma_r_y6,ISP_GAMMA_R_Y_6,11:0,GAMMA_R_Y_6,RW,,,
,,040,c_gamma_r_y7,ISP_GAMMA_R_Y_7,11:0,GAMMA_R_Y_7,RW,,,
,,044,c_gamma_r_y8,ISP_GAMMA_R_Y_8,11:0,GAMMA_R_Y_8,RW,,,
,,048,c_gamma_r_y9,ISP_GAMMA_R_Y_9,11:0,GAMMA_R_Y_9,RW,,,
,,04C,c_gamma_r_y10,ISP_GAMMA_R_Y_10,11:0,GAMMA_R_Y_10,RW,,,
,,050,c_gamma_r_y11,ISP_GAMMA_R_Y_11,11:0,GAMMA_R_Y_11,RW,,,
,,054,c_gamma_r_y12,ISP_GAMMA_R_Y_12,11:0,GAMMA_R_Y_12,RW,,,
,,058,c_gamma_r_y13,ISP_GAMMA_R_Y_13,11:0,GAMMA_R_Y_13,RW,,,
,,05C,c_gamma_r_y14,ISP_GAMMA_R_Y_14,11:0,GAMMA_R_Y_14,RW,,,
,,060,c_gamma_r_y15,ISP_GAMMA_R_Y_15,11:0,GAMMA_R_Y_15,RW,,,
,,064,c_gamma_r_y16,ISP_GAMMA_R_Y_16,11:0,GAMMA_R_Y_16,RW,,,
,,068,c_gamma_g_y0,ISP_GAMMA_G_Y_0,11:0,GAMMA_G_Y_0,RW,,调整gamma矫正曲线的y轴采样点的值，与x轴采样点配置联合作用。分为RGB三条曲线：g_y0到g_y16,
,,06C,c_gamma_g_y1,ISP_GAMMA_G_Y_1,11:0,GAMMA_G_Y_1,RW,,,
,,070,c_gamma_g_y2,ISP_GAMMA_G_Y_2,11:0,GAMMA_G_Y_2,RW,,,
,,074,c_gamma_g_y3,ISP_GAMMA_G_Y_3,11:0,GAMMA_G_Y_3,RW,,,
,,078,c_gamma_g_y4,ISP_GAMMA_G_Y_4,11:0,GAMMA_G_Y_4,RW,,,
,,07C,c_gamma_g_y5,ISP_GAMMA_G_Y_5,11:0,GAMMA_G_Y_5,RW,,,
,,080,c_gamma_g_y6,ISP_GAMMA_G_Y_6,11:0,GAMMA_G_Y_6,RW,,,
,,084,c_gamma_g_y7,ISP_GAMMA_G_Y_7,11:0,GAMMA_G_Y_7,RW,,,
,,088,c_gamma_g_y8,ISP_GAMMA_G_Y_8,11:0,GAMMA_G_Y_8,RW,,,
,,08C,c_gamma_g_y9,ISP_GAMMA_G_Y_9,11:0,GAMMA_G_Y_9,RW,,,
,,090,c_gamma_g_y10,ISP_GAMMA_G_Y_10,11:0,GAMMA_G_Y_10,RW,,,
,,094,c_gamma_g_y11,ISP_GAMMA_G_Y_11,11:0,GAMMA_G_Y_11,RW,,,
,,098,c_gamma_g_y12,ISP_GAMMA_G_Y_12,11:0,GAMMA_G_Y_12,RW,,,
,,09C,c_gamma_g_y13,ISP_GAMMA_G_Y_13,11:0,GAMMA_G_Y_13,RW,,,
,,0A0,c_gamma_g_y14,ISP_GAMMA_G_Y_14,11:0,GAMMA_G_Y_14,RW,,,
,,0A4,c_gamma_g_y15,ISP_GAMMA_G_Y_15,11:0,GAMMA_G_Y_15,RW,,,
,,0A8,c_gamma_g_y16,ISP_GAMMA_G_Y_16,11:0,GAMMA_G_Y_16,RW,,,
,,0AC,c_gamma_b_y0,ISP_GAMMA_B_Y_0,11:0,GAMMA_B_Y_0,RW,,调整gamma矫正曲线的y轴采样点的值，与x轴采样点配置联合作用。分为RGB三条曲线：b_y0到b_y16,
,,0B0,c_gamma_b_y1,ISP_GAMMA_B_Y_1,11:0,GAMMA_B_Y_1,RW,,,
,,0B4,c_gamma_b_y2,ISP_GAMMA_B_Y_2,11:0,GAMMA_B_Y_2,RW,,,
,,0B8,c_gamma_b_y3,ISP_GAMMA_B_Y_3,11:0,GAMMA_B_Y_3,RW,,,
,,0BC,c_gamma_b_y4,ISP_GAMMA_B_Y_4,11:0,GAMMA_B_Y_4,RW,,,
,,0C0,c_gamma_b_y5,ISP_GAMMA_B_Y_5,11:0,GAMMA_B_Y_5,RW,,,
,,0C4,c_gamma_b_y6,ISP_GAMMA_B_Y_6,11:0,GAMMA_B_Y_6,RW,,,
,,0C8,c_gamma_b_y7,ISP_GAMMA_B_Y_7,11:0,GAMMA_B_Y_7,RW,,,
,,0CC,c_gamma_b_y8,ISP_GAMMA_B_Y_8,11:0,GAMMA_B_Y_8,RW,,,
,,0D0,c_gamma_b_y9,ISP_GAMMA_B_Y_9,11:0,GAMMA_B_Y_9,RW,,,
,,0D4,c_gamma_b_y10,ISP_GAMMA_B_Y_10,11:0,GAMMA_B_Y_10,RW,,,
,,0D8,c_gamma_b_y11,ISP_GAMMA_B_Y_11,11:0,GAMMA_B_Y_11,RW,,,
,,0DC,c_gamma_b_y12,ISP_GAMMA_B_Y_12,11:0,GAMMA_B_Y_12,RW,,,
,,0E0,c_gamma_b_y13,ISP_GAMMA_B_Y_13,11:0,GAMMA_B_Y_13,RW,,,
,,0E4,c_gamma_b_y14,ISP_GAMMA_B_Y_14,11:0,GAMMA_B_Y_14,RW,,,
,,0E8,c_gamma_b_y15,ISP_GAMMA_B_Y_15,11:0,GAMMA_B_Y_15,RW,,,
,,0EC,c_gamma_b_y16,ISP_GAMMA_B_Y_16,11:0,GAMMA_B_Y_16,RW,,,
LSC,4001B/1D,500,c_lsc_ctrl,ISP_LSC_CTRL,0,cfg_lsc_en,RW,,模块的开关（bypass）,
,,504,c_lsc_r_table_addr,ISP_LSC_R_TABLE_ADDR,8:0,r_ram_addr,RWH,,"table address in RAM for samples of the R color component.
Will be automatically incremented by each read or write access to the table.
Valid addresses are in the range 0 to 152.",
,,508,c_lsc_gr_table_addr,ISP_LSC_GR_TABLE_ADDR,8:0,gr_ram_addr,RWH,,"table address in RAM for samples of the G_R color component.
Will be automatically incremented by each read or write access to the table.",
,,50C,c_lsc_b_table_addr,ISP_LSC_B_TABLE_ADDR,8:0,b_ram_addr,RWH,,"table address in RAM for samples of the B color component.
Will be automatically incremented by each read or write access to the table.",
,,510,c_lsc_gb_table_addr,ISP_LSC_GB_TABLE_ADDR,8:0,gb_ram_addr,RWH,,"table address in RAM for samples of the G_B color component.
Will be automatically incremented by each read or write access to the table.",
,,514,c_lsc_r_table_data,ISP_LSC_R_TABLE_DATA,23:12,r_sample_1,RW,,"correction factor at sample point (fixed point number: 2 bits integer with 10-bit fractional part, range 1..3.999)",
,,,,,11:0,r_sample_0,RW,,,
,,518,c_lsc_gr_table_data,ISP_LSC_GR_TABLE_DATA,23:12,gr_sample_1,RW,,"correction factor at sample point (fixed point number: 2 bits integer with 10-bit fractional part, range 1..3.999)",
,,,,,11:0,gr_sample_0,RW,,,
,,51C,c_lsc_b_table_data,ISP_LSC_B_TABLE_DATA,23:12,b_sample_1,RW,,"correction factor at sample point (fixed point number: 2 bits integer with 10-bit fractional part, range 1..3.999)",
,,,,,11:0,b_sample_0,RW,,,
,,520,c_lsc_gb_table_data,ISP_LSC_GB_TABLE_DATA,23:12,gb_sample_1,RW,,"correction factor at sample point (fixed point number: 2 bits integer with 10-bit fractional part, range 1..3.999)",
,,,,,11:0,gb_sample_0,RW,,,
,,524,c_lsc_xgrad_01,ISP_LSC_XGRAD_01,11:0,xgrad_0,RW,,配置各区域图像梯度，离散校正值由具有12比特宽度的整数值表示，其中1024表示因子1。4095的最大值表示大约3.999的因子。通常，校正值大于或等于1024，以保证全范围传递函数。,
,,,,,27:16,xgrad_1,RW,,,
,,528,c_lsc_xgrad_23,ISP_LSC_XGRAD_23,11:0,xgrad_2,RW,,,
,,,,,27:16,xgrad_3,RW,,,
,,52C,c_lsc_xgrad_45,ISP_LSC_XGRAD_45,11:0,xgrad_4,RW,,,
,,,,,27:16,xgrad_5,RW,,,
,,530,c_lsc_xgrad_67,ISP_LSC_XGRAD_67,11:0,xgrad_6,RW,,,
,,,,,27:16,xgrad_7,RW,,,
,,534,c_lsc_ygrad_01,ISP_LSC_YGRAD_01,11:0,ygrad_0,RW,,配置各区域图像梯度，离散校正值由具有12比特宽度的整数值表示，其中1024表示因子1。4095的最大值表示大约3.999的因子。通常，校正值大于或等于1024，以保证全范围传递函数。,
,,,,,27:16,ygrad_1,RW,,,
,,538,c_lsc_ygrad_23,ISP_LSC_YGRAD_23,11:0,ygrad_2,RW,,,
,,,,,27:16,ygrad_3,RW,,,
,,53C,c_lsc_ygrad_45,ISP_LSC_YGRAD_45,11:0,ygrad_4,RW,,,
,,,,,27:16,ygrad_5,RW,,,
,,540,c_lsc_ygrad_67,ISP_LSC_YGRAD_67,11:0,ygrad_6,RW,,,
,,,,,27:16,ygrad_7,RW,,,
